subject_name,course_name,course_url
Computer Science Courses,Intro to Computer Science,https://www.classcentral.com/course/udacity-intro-to-computer-science-320
Computer Science Courses,Machine Learning Foundations: A Case Study Approach,https://www.classcentral.com/course/ml-foundations-4352
Computer Science Courses,Computational Social Science Capstone Project,https://www.classcentral.com/course/css-capstone-17985
Computer Science Courses,AI and Big Data in Global Health Improvement,https://www.classcentral.com/course/ai-and-big-data-global-health-improvement-17981
Computer Science Courses,"Algorithms, Part II",https://www.classcentral.com/course/algs4partII-340
Computer Science Courses,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),https://www.classcentral.com/course/build-a-computer-3234
Computer Science Courses,Bitcoin and Cryptocurrency Technologies,https://www.classcentral.com/course/bitcointech-3655
Computer Science Courses,"Cloud Computing Concepts, Part 1",https://www.classcentral.com/course/cloud-computing-2717
Computer Science Courses,Automata Theory,https://www.classcentral.com/course/edx-automata-theory-376
Computer Science Courses,Introduction to Machine Learning Course,https://www.classcentral.com/course/udacity-introduction-to-machine-learning-course-2996
Mathematics Courses,Nonlinear Dynamics: Mathematical and Computational Approaches,https://www.classcentral.com/course/complexity-explorer-nonlinear-dynamics-mathematical-and-computational-approaches-1195
Mathematics Courses,How to Learn Math: For Students,https://www.classcentral.com/course/edx-how-to-learn-math-for-students-917
Mathematics Courses,Introduction to Linear Models and Matrix Algebra,https://www.classcentral.com/course/edx-introduction-to-linear-models-and-matrix-algebra-2963
Mathematics Courses,Bases Matemáticas: Álgebra,https://www.classcentral.com/course/edx-bases-matematicas-algebra-2968
Mathematics Courses,Statistics 110: Probability,https://www.classcentral.com/course/youtube-statistics-110-probability-91487/classroom
Mathematics Courses,Linear Algebra (Fall 2011),https://www.classcentral.com/course/mit-opencourseware-linear-algebra-fall-2011-40964/classroom
Mathematics Courses,Convex Optimization,https://www.classcentral.com/course/edx-convex-optimization-1577
Mathematics Courses,Fat Chance: Probability from the Ground Up,https://www.classcentral.com/course/edx-fat-chance-probability-from-the-ground-up-10159
Mathematics Courses,Statistical Inference and Modeling for High-throughput Experiments,https://www.classcentral.com/course/edx-statistical-inference-and-modeling-for-high-throughput-experiments-2967
Mathematics Courses,Mathematical and Computational Methods,https://www.classcentral.com/course/mathematical-and-computational-methods-27989
Mathematics Courses,Introduction to Probability and Data with R,https://www.classcentral.com/course/probability-intro-6099
Mathematics Courses,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,https://www.classcentral.com/course/crash-course-in-causality-8425
Mathematics Courses,Single Variable Calculus (Fall 2006),https://www.classcentral.com/course/mit-opencourseware-single-variable-calculus-fall-2006-40961/classroom
Mathematics Courses,Multivariable Calculus (Fall 2007),https://www.classcentral.com/course/mit-opencourseware-multivariable-calculus-fall-2007-40962/classroom
Mathematics Courses,Tutorials for Complex Systems,https://www.classcentral.com/course/complexity-explorer-tutorials-for-complex-systems-1194
Health & Medicine Courses,Understanding Medical Research: Your Facebook Friend is Wrong,https://www.classcentral.com/course/medical-research-19515
Health & Medicine Courses,"Nutrition, Exercise and Sports",https://www.classcentral.com/course/edx-nutrition-exercise-and-sports-14381
Health & Medicine Courses,"Nutrition, Heart Disease and Diabetes",https://www.classcentral.com/course/edx-nutrition-heart-disease-and-diabetes-11592
Health & Medicine Courses,Nutrition and Health: Micronutrients and Malnutrition,https://www.classcentral.com/course/edx-nutrition-and-health-micronutrients-and-malnutrition-3643
Health & Medicine Courses,Nutrition and Health: Macronutrients and Overnutrition,https://www.classcentral.com/course/edx-nutrition-and-health-macronutrients-and-overnutrition-2154
Health & Medicine Courses,Nutrition and Cancer,https://www.classcentral.com/course/edx-nutrition-and-cancer-11591
Health & Medicine Courses,Discover Dentistry,https://www.classcentral.com/course/discover-dentistry-1249
Health & Medicine Courses,Maintaining a Mindful Life,https://www.classcentral.com/course/mindfulness-life-9078
Health & Medicine Courses,Mindfulness for Wellbeing and Peak Performance,https://www.classcentral.com/course/mindfulness-wellbeing-performance-3714
Health & Medicine Courses,Understanding Clinical Research: Behind the Statistics,https://www.classcentral.com/course/clinical-research-5037
Health & Medicine Courses,Understanding Dementia,https://www.classcentral.com/course/independent-understanding-dementia-981
Health & Medicine Courses,Understanding Traumatic Brain Injury (TBI),https://www.classcentral.com/course/independent-understanding-traumatic-brain-injury-mooc-39253
Health & Medicine Courses,Preventing Dementia,https://www.classcentral.com/course/independent-preventing-dementia-6565
Health & Medicine Courses,The Musculoskeletal System: The Science of Staying Active into Old Age,https://www.classcentral.com/course/musculoskeletal-6738
Health & Medicine Courses,End of Life Care: Challenges and Innovation,https://www.classcentral.com/course/end-of-life-care-16932
Humanities Courses,How to Succeed at: Writing Applications,https://www.classcentral.com/course/writing-applications-2248
Humanities Courses,A Life of Happiness and Fulfillment,https://www.classcentral.com/course/happiness-2860
Humanities Courses,Modern & Contemporary American Poetry (“ModPo”),https://www.classcentral.com/course/modpo-356
Humanities Courses,HOPE: Human Odyssey to Political Existentialism,https://www.classcentral.com/course/edx-hope-human-odyssey-to-political-existentialism-11584
Humanities Courses,Basic Spanish 1: Getting Started,https://www.classcentral.com/course/edx-basic-spanish-1-getting-started-3698
Humanities Courses,Nutrition and Health: Food Safety,https://www.classcentral.com/course/edx-nutrition-and-health-food-safety-5157
Humanities Courses,Literature of the English Country House,https://www.classcentral.com/course/country-house-literature-2028
Humanities Courses,English in Early Childhood: Language Learning and Development,https://www.classcentral.com/course/english-in-early-childhood-6910
Humanities Courses,Exploring English: Shakespeare,https://www.classcentral.com/course/explore-english-shakespeare-4847
Humanities Courses,Teaching English: How to Plan a Great Lesson,https://www.classcentral.com/course/teaching-english-great-lesson-13115
Humanities Courses,English for the Workplace,https://www.classcentral.com/course/workplace-english-6911
Humanities Courses,Academic Writing,https://www.classcentral.com/course/swayam-academic-writing-13881
Humanities Courses,Exploring English: Language and Culture,https://www.classcentral.com/course/explore-english-language-culture-2135
Humanities Courses,Learn Hindi through English,https://www.classcentral.com/course/youtube-learn-hindi-through-english-48720/classroom
Humanities Courses,Working with Translation: Theory and Practice,https://www.classcentral.com/course/working-with-translation-6981
Programming Courses,Computing in Python II: Control Structures,https://www.classcentral.com/course/edx-computing-in-python-ii-control-structures-11470
Programming Courses,Functional Program Design in Scala,https://www.classcentral.com/course/progfun2-1186
Programming Courses,Predictive Modeling and Machine Learning with MATLAB,https://www.classcentral.com/course/predictive-modeling-machine-learning-17129
Programming Courses,Introduction to Agent-based Modeling,https://www.classcentral.com/course/complexity-explorer-introduction-to-agent-based-modeling-1193
